protein,interactors
AP3B1,BLOC1S1 BLOC1S4 CAPZB AP3D1 BLOC1S3 ARHGEF2 AP3B2 BLOC1S5 ARHGEF1 NEDD4 FKBP15 AP3S2 WASHC2A PI4K2A DOCK7 AP3M1 CLTC AP3S1 WASHC5 WASHC4 BLOC1S6 DTNBP1 SNAPIN CAPZA1 DNM2 AP3M2 BLOC1S2
AP3D1,BLOC1S1 BLOC1S4 BLOC1S3 AP3B2 BLOC1S5 AP3S2 RBSN AP3M1 AP2A1 CACNG2 AP3B1 KIF3A AP3S1 BLOC1S6 DTNBP1 SNAPIN RAB4A AP3M2 BLOC1S2
AP3M2,BLOC1S1 BLOC1S4 AP3D1 BLOC1S3 AP3B2 BLOC1S5 AP3S2 GRIA2 AP3M1 CACNG2 AP3B1 AP3S1 BLOC1S6 DTNBP1 SNAPIN GRIA1 BLOC1S2
AP3S2,BLOC1S1 BLOC1S4 AP3D1 BLOC1S3 AP3B2 BLOC1S5 AP3M1 AP3B1 AP3S1 BLOC1S6 DTNBP1 SNAPIN AP3M2 BLOC1S2
AP3B2,BLOC1S1 BLOC1S4 AP3D1 BLOC1S3 BLOC1S5 AP3S2 AP3M1 AP3B1 AP3S1 BLOC1S6 DTNBP1 SNAPIN AP3M2 BLOC1S2
AP3S1,BLOC1S1 BLOC1S4 AP3D1 BLOC1S3 AP3B2 BLOC1S5 AP3S2 RBSN AP3M1 KIF3A AP3B1 BLOC1S6 DTNBP1 SNAPIN RAB4A AP3M2 BLOC1S2
AP3M1,BLOC1S1 BLOC1S4 AP3D1 BLOC1S3 AP3B2 BLOC1S5 AP3S2 AP3B1 AP3S1 BLOC1S6 DTNBP1 SNAPIN AP3M2 BLOC1S2
MTA2,HDAC2 SMARCA5 HMG20B ZNF598 WDR5 GATAD2B SMARCA4 EFTUD2 TWIST1 GATAD2A STAG1 MBD2 ACTL6A GSE1 RBBP4 MBD3 HDAC1 ACTB KDM1A MTA1 RAN SYMPK BAZ1A DPF2 RBBP7 TAF9 SAP30 SMARCC2 TBP ZMYM2 SMC1A SIN3A ARID1A ZMYND8 RCOR1 STAG2 TAF12 SMC3 RBBP5 CPSF2 GTF2I SMARCB1 CHD4 TAF6 CHD3 PHF21A HNRNPC SMARCD2 SMARCE1 SAP18 TAF1 KMT2A CDK2AP1 SMARCC1 ZMYM3 RAD21 SMARCA2
MBD3,HDAC2 SMARCA5 BCL6 ZNF598 WDR5 GATAD2B SMARCA4 EFTUD2 GATAD2A STAG1 MBD2 ACTL6A RBBP4 HDAC1 ACTB KDM1A RAN SYMPK BAZ1A DPF2 RBBP7 TAF9 SAP30 SMARCC2 TBP SMC1A ARID1A SIN3A ZMYND8 RCOR1 STAG2 TAF12 SMC3 RBBP5 CPSF2 SMARCB1 MTA2 CHD4 TAF6 CHD3 MTA3 HNRNPC SMARCD2 SIX3 SMARCE1 SAP18 TAF1 KMT2A CDK2AP1 SMARCC1 MTA1 RAD21 SMARCA2
RBBP4,H4C12 GATAD2B AEBP2 SMARCA4 LIN9 H4C14 CHAF1B TFDP1 ACTL6A CHAF1A SYMPK BAZ1A ING2 HSPA4 EHMT2 H3C4 EZH2 ZMYM2 SMC1A SIN3A H4C3 TAF12 MTA2 ASH2L PRMT5 SIX3 SUDS3 SAP18 TAF1 SAP130 SMARCC1 HMG20B ZNF598 SP1 H4C9 EFTUD2 GATAD2A HSPA5 MBD2 HAT1 GSE1 KDM1A CDYL H4C8 IPO4 SMARCC2 MCM4 ZMYND8 RBL1 NASP STAG2 SMC3 MCM2 H4C2 CHD3 PHF21A MCM6 SMARCD2 MTA3 BPTF H3C10 ZMYM3 H3C1 SMARCA2 HDAC2 LIN54 SMARCA5 WDR5 H3C7 EED ASF1A LIN52 HIPK2 HDAC1 H3C8 OGT H3C6 SETDB1 H4C5 H4C1 MYBL2 E2F4 RBBP7 SAP25 TAF9 TLE1 TBP ARID1A RCOR1 RBBP5 CPSF2 GTF2I HSP90AA1 SIN3B H4C4 BRMS1L RBL2 TAF6 HNRNPC MCM7 SMARCE1 BRMS1 ARID4A SETD1A MTA1 ARID4B H4-16 H4C6 HSPA8 LIN37 H3C3 SUZ12 MCM3 H3C2 STAG1 HCFC1 ASF1B MBD3 ACTB RAN MCM5 H3-3B SMARCA1 DPF2 SAP30 H4C11 H3C11 SMARCB1 H3-3A CHD4 H4C15 SMARCD3 H3C12 NKX3-1 SMARCD1 KMT2A HIRA CDK2AP1 H4C13 ING1 RAD21
CHD4,SF3A1 SFSWAP GATAD2B HDAC3 SNRPA1 RBM10 SMARCA4 SNRPD1 STRAP PBRM1 ACTL6A SF1 RUVBL1 SRSF4 SNRNP70 GEMIN4 H3C4 SNRNP40 ZMYM2 SIN3A TBL1XR1 MTA2 LSM4 CPSF7 PRPF3 HNRNPH1 SAP18 SNRPE SMARCC1 PUF60 CPSF1 SNRPB2 DDX5 HMG20B ZNF598 ARID1B LUC7L2 LUC7L3 PCBP2 NCBP1 EFTUD2 TWIST1 RBM17 PRPF4 GATAD2A HNRNPL MBD2 DDX39B GSE1 DDX39A U2AF1 SF3A3 PRPF6 KDM1A SART3 SF3B1 DDX20 SMN2 SF3B4 RBM39 SMARCC2 PCBP1 DHX9 DNAJC8 CPSF6 ZMYND8 RBL1 BCAS2 SRSF1 MED4 SRRM2 SF3B3 SNRPA GEMIN8 MTA3 CHD3 PHF21A SMARCD2 HNRNPM ZCCHC8 SNRPD3 H3C10 RUVBL2 ZMYM3 DPY30 H3C1 SRSF2 HDAC2 SMARCA2 NUDT21 BANF2 SNRPD2 HNRNPA0 GEMIN5 DDX23 H3C7 RBMXL2 ACTBL2 PRPF31 RBBP4 TBL1Y HDAC1 H3C8 SNRNP200 H3C6 SNRPB ARID2 SART1 HNRNPU RBBP7 GEMIN6 ATR CHD8 DHX15 ARID1A SCAF4 RCOR1 SRSF7 PHF5A MTREX HTATSF1 GTF2I HNRNPF DDX46 GEMIN2 RBL2 RBM42 HNRNPC U2AF2 SMARCE1 SRSF11 CHERP MTA1 YBX1 BCL6 SYNCRIP RBM25 ALYREF PRPF40A H3C3 SNRPF SRSF5 LMNB1 HNRNPA2B1 PPIH H3C2 HNRNPK NCBP2 MBD3 ACTB SRRT PRPF8 SMARCA1 SRSF3 DPF2 EMD SREK1 SPTAN1 SNRPC KHSRP FUS HNRNPD SRSF6 HNRNPA1 TRIM28 H3C11 SF3B2 USP39 HNRNPR SMARCB1 PRPF19 NMI H3C12 SF3B6 SRSF8 RBM7 SMARCD1 SF3A2 SMN1 U2SURP DDX17 CDK2AP1 SNRPG
RBBP7,HDAC2 SMARCA5 WDR5 GATAD2B SMARCA4 EED ACTL6A RBBP4 HDAC1 OGT SYMPK BAZ1A ING2 HSPA4 SAP25 TAF9 EZH2 TBP ZMYM2 SMC1A SIN3A ARID1A RCOR1 TAF12 RBBP5 CPSF2 GTF2I MTA2 HSP90AA1 SIN3B ASH2L BRMS1L TAF6 SIX3 SUDS3 SAP18 TAF1 BRMS1 SAP130 ARID4A SETD1A SMARCC1 MTA1 ARID4B HMG20B ZNF598 HSPA8 SUZ12 SP1 EFTUD2 TWIST1 GATAD2A STAG1 HSPA5 HCFC1 MBD2 GSE1 MBD3 KDM1A RAN SMARCA1 SAP30 SMARCC2 ZMYND8 STAG2 SMC3 SMARCB1 CHD4 CHD3 PHF21A MTA3 SMARCD1 BPTF KMT2A CDK2AP1 ZMYM3 ING1 RAD21 SMARCA2
HDAC2,BRCA2 SMARCA5 WDR5 NCOR2 GATAD2B HDAC3 ESR1 MXD1 SMARCA4 TFDP1 ACTL6A RBBP4 RREB1 HDAC1 OGT CBX4 SETDB1 SYMPK MNAT1 BAZ1A MIER2 EHMT2 HSPA4 ING2 RBBP7 SAP25 TAF9 ATR ZNF516 TBP ZMYM2 SMC1A SIN3A LCOR ARID1A RCOR1 MECP2 TAF12 RCOR3 BRCA1 DNTTIP1 RBBP5 CPSF2 GTF2I YAF2 MTA2 CCNH SIN3B HSP90AA1 PRMT5 ASH2L BRMS1L TAF6 PA2G4 HNRNPC ZNF541 SIX3 RYBP SUDS3 SAP18 SMARCE1 TAF1 BRMS1 SAP130 ARID4A SETD1A SMARCC1 MTA1 TBX20 E2F6 ARID4B GFI1 HMG20B CTBP1 ZNF598 HSPA8 SP1 EFTUD2 TWIST1 GATAD2A STAG1 HSPA5 HCFC1 MBD2 NCOR1 AJUBA GSE1 MBD3 ACTB KDM1A RAN HESX1 CDYL MIDEAS REST MGA L3MBTL2 DPF2 SAP30 SMARCC2 CDK7 WIZ RB1 CTBP2 MAX ZMYND8 RNF2 STAG2 SMC3 PCGF6 SMARCB1 ZEB2 CHD4 EHMT1 E2F1 SMARCD3 CHD3 PHF21A ZNF217 SMARCD2 MTA3 MIER1 SMARCD1 RING1 KMT2A CDK2AP1 CBX3 ZMYM3 ZEB1 ING1 RAD21 SMARCA2
MBD2,HDAC2 SMARCA5 GATAD2B SMARCA4 GATAD2A STAG1 ACTL6A RBBP4 MBD3 HDAC1 ACTB KDM1A BAZ1A DPF2 RBBP7 SMARCC2 SMC1A ARID1A RCOR1 STAG2 SMC3 SMARCB1 MTA2 CHD4 CHD3 MTA3 HNRNPC SMARCD2 SIX3 SMARCE1 SMARCC1 MTA1 RAD21
MED14,MED18 MED27 MED13 MED6 MED22 ESR1 MED1 MED10 MED29 THRA TRRAP KAT2A MED13L MED9 EP300 VDR MED12 THRAP3 OPA1 MED23 MED11 MED21 MED15 MED19 MED20 SOX9 ACAD8 NCOA1 MED16 MED26 MED31 MED17 MED4 MED28 ESR2 MED7 CCNT1 CDK19 CCNC CDK9 MED30 CDK8 BRD4 MED25 RXRB MED8 MED24
MED24,MED18 MED27 MED13 MED6 MED22 ESR1 MED1 MED10 MED29 THRA TRRAP KAT2A MED13L MED9 EP300 VDR MED14 MED12 THRAP3 OPA1 MED23 MED11 MED21 MED15 MED19 MED20 SOX9 ACAD8 NCOA1 MED16 MED26 MED31 MED17 MED4 MED28 ESR2 MED7 CCNT1 CDK19 CCNC CDK9 MED30 CDK8 BRD4 MED25 RXRB MED8
THRA,YWHAQ MED27 MED13 MED6 MED1 MED10 PDCD4 CKB LMNB1 HNRNPK SNRPD1 HNRNPL HDGF MED14 MED12 THRAP3 DDX39A ACTB MED21 ILF3 YWHAE LEMD3 LSM8 HNRNPU EMD MED16 MED31 MED17 MED4 API5 RBL2 NMI H1-1 CCNC C1QBP IQGAP1 MED24
MED1,MED18 MAML1 MED27 MED22 ESR1 MED10 MED29 THRA KAT2A MED13L MED9 VDR SUPT16H MED14 POLR2A THRAP3 OPA1 MED23 MED11 MED21 MED15 SOX9 ACAD8 NCOA1 MED16 MED26 MED31 MED17 MED28 RBPJ CCNT1 CCNC CDK9 MED25 RXRB MED8 ESR2 MED13 MED6 TRRAP EP300 MED12 MED19 MED20 CDK7 MED4 MED7 SUPT6H CDK19 NOTCH1 MED30 CDK8 INPP5K BRD4 MED24
MED12,MED18 MED27 MED13 MED6 MED22 ESR1 MED1 MED10 MED29 THRA TRRAP KAT2A MED13L MED9 EP300 VDR MED14 THRAP3 MED11 MED23 MED21 MED15 MED19 MED20 SOX9 ACAD8 NCOA1 MED16 MED26 MED31 MED17 MED4 MED28 ESR2 MED7 CCNT1 CDK19 CCNC CDK9 MED30 CDK8 BRD4 MED25 RXRB MED8 MED24
MED17,MED18 MED27 MED13 MED6 MED22 ESR1 MED1 MED10 MED29 THRA TRRAP KAT2A MED13L MED9 EP300 VDR MED14 MED12 THRAP3 OPA1 MED23 MED11 MED21 MED15 MED19 MED20 SOX9 ACAD8 NCOA1 MED16 MED26 MED31 MED4 MED28 ESR2 MED7 CCNT1 CDK19 CCNC CDK9 MED30 CDK8 BRD4 MED25 RXRB MED8 MED24
THRAP3,MED16 MED27 MED13 MED6 MED31 MED1 MED17 MED10 MED4 MED7 THRA SOX9 MED14 MED12 MED21 CCNC CDK8 MED20 MED25 MED24
MED16,MED18 MED27 MED13 MED6 MED22 ESR1 MED1 MED10 MED29 THRA TRRAP KAT2A MED13L MED9 EP300 VDR MED14 MED12 THRAP3 OPA1 MED11 MED23 MED21 MED15 MED19 MED20 SOX9 NCOA1 MED26 MED31 MED17 MED4 MED28 ESR2 MED7 CDK19 CCNC MED30 CDK8 MED25 RXRB MED8 MED24
AP4M1,AP4E1 AP4B1 AP4S1
AP4E1,AP4B1 AP4M1 AP4S1
AP4S1,AP4E1 AP4B1 AP4M1
AP4B1,AP4E1 AP4M1 AP4S1
RAD51B,RAD51D RAD51C XRCC3 XRCC2
RAD51C,BRCA2 RAD51B RAD51 PALB2 RAD51D XRCC3 XRCC2
XRCC2,RAD51B RAD51 RAD51D RAD51C XRCC3 BLM
RAD51D,RAD51B RAD51 RAD51C XRCC3 BLM XRCC2
MRE11,NBN TOPBP1 MSH6 NUDT21 TERF2IP CAPRIN1 BACH1 XRCC5 XRCC6 TRRAP MSH2 RFC1 ATM U2AF1 PAXIP1 RFC2 PARP1 MCM8 TJP1 RBBP8 GTF2H4 LIG4 ERCC3 MDC1 TERF2 PCF11 MLH1 CPSF6 FANCD2 BARD1 MRNIP BRCA1 DHX16 CPSF3 CLP1 TINF2 BLM CPSF7 RFC4 SFPQ U2AF2 XRCC4 TP53BP1 PTBP1 RAD50 MCM9
RAD50,NBN TOPBP1 MSH6 ACD NCL TERF2IP BACH1 XRCC5 XRCC6 TRRAP MSH2 NONO RFC1 ATM PAXIP1 ACTB TOP2B RFC2 PARP1 MCM8 RBBP8 LIG4 TERF1 HSPA4 MDC1 TERF2 MLH1 TLE1 MYH10 FANCD2 BARD1 MRNIP BRCA1 TINF2 BLM RFC4 MRE11 POT1 XRCC4 TP53BP1 NPM1 MCM9
TRPC1,HOMER3 STIM1 CAV1 ITPR1 ORAI1 GNA11 TRPC7 TRPC3 ITPR3 RHOA
ITPR3,HOMER3 CAV1 GNA11 TRPC1
HOMER3,TRPC1 ITPR3
RBX1,OSGEP CAND1 COPS2 FBXW11 VHL WSB1 FBXW8 OBSL1 ARNT KLHL9 KLHL20 FBXO44 COPS5 WDTC1 COP1 GPS1 BTRC ZC3HC1 CCNE1 SKP2 POLR2A CUL1 FBXW7 COPS3 GLMN CDK2 KEAP1 COPS4 NEDD8 FBXO31 DET1 ERCC8 SKP1 CUL5 CDT1 FBXO27 DDB1 CKS1B KLHL24 TBL3 CCDC8 CUL3 CDC34 TP53 FBXO6 COPS6 LAGE3 CUL4B CUL2 ELOB FBH1 AHR PRAME CRBN FBXO17 KLHL13 CUL9 CDKN1B DDB2 CUL4A COPS7A SMAD3 ELOC FBXO11 COPS8 HINT1 KLHL7 CUL7
SKP1,STAP1 PDCD2 IKBKG KDM2B FBXW11 FBXW8 POLR1B LRPPRC MTIF2 BTRC ZC3HC1 CRY2 SKP2 FBXW7 CUL1 CDK2 NFKBIB PFDN2 NEDD8 FBXO31 URI1 POLR1E RUVBL1 SIAH1 FBXO27 PCGF1 POLR2H NFKBIA CUL2 CRY1 CACYBP YAF2 FBXO17 POLR1A PPP6C CDKN1B ANKRD28 RYBP PPP6R1 IKBKE FBXO11 POLR2L CHUK NFKB1 RASAL2 FBXW2 HSPA8 USP7 KPNA2 FBXO10 FBXO44 RELA GPS1 CCNE1 FBXL3 GLMN POLR1D POLR1G CKS1B REL RNF2 FBXO6 CUL3 POLR2E PPP6R2 MCC FBH1 IKBKB BCORL1 TBL1X IQGAP2 RBX1 RING1 NFKB2 SMAD3 RUVBL2 COPS8 BCOR CUL7
CUL7,CCDC8 TP53 RBX1 FBXW8 OBSL1 SKP1 ANKRA2 CUL9
FBXW8,CCDC8 GLMN TP53 RBX1 OBSL1 SKP1 CUL9 CUL7
ARID1A,SF3A1 SFSWAP GATAD2B SNRPA1 RBM10 SMARCA4 SNRPD1 STRAP PBRM1 VDR ACTL6A ACTG1 CHAF1A SUPT16H SF1 RUVBL1 SRSF4 CARM1 SNRNP70 GEMIN4 SNRNP40 SIN3A BRD7 MTA2 LSM4 PRMT5 CPSF7 PRPF3 HNRNPH1 SAP18 SNRPE SMARCC1 PUF60 CPSF1 SNRPB2 DDX5 ARID1B LUC7L2 LUC7L3 PCBP2 NCBP1 EFTUD2 RBM17 PRPF4 HNRNPL MBD2 DDX39B DDX39A U2AF1 SF3A3 PRPF6 SART3 SF3B1 DDX20 SMN2 SF3B4 RBM39 SMARCC2 PCBP1 DHX9 DNAJC8 CPSF6 BCL7A BCAS2 SRSF1 SRRM2 SF3B3 SNRPA GEMIN8 SMARCD2 HNRNPM ZCCHC8 BCL7C SNRPD3 RUVBL2 SRSF2 SMARCA2 HDAC2 NUDT21 SNRPD2 HNRNPA0 GEMIN5 DDX23 RBMXL2 CREBBP ACTBL2 PHF10 PRPF31 RBBP4 HDAC1 SNRNP200 TOP2B SNRPB ARID2 SART1 HNRNPU RBBP7 GEMIN6 CHD8 DHX15 SCAF4 SRSF7 PHF5A BRCA1 MTREX HTATSF1 SCYL1 HNRNPF DDX46 GEMIN2 RBM42 MLLT1 HNRNPC U2AF2 SMARCE1 SRSF11 BAZ1B CHERP ARID4B ACTL6B YBX1 RBM25 SYNCRIP ALYREF PRPF40A SNRPF SRSF5 HNRNPA2B1 PPIH HNRNPK EP300 NCBP2 MBD3 ACTB SRRT PRPF8 SMARCA1 SRSF3 DPF2 SREK1 SAP30 SNRPC KHSRP FUS HNRNPD SRSF6 HNRNPA1 SF3B2 USP39 HNRNPR SMARCB1 PRPF19 CHD4 SMARCD3 SF3B6 SRSF8 RBM7 SMARCD1 SF3A2 SMN1 U2SURP DDX17 SNRPG ING1
SMARCA4,SF3A1 SFSWAP GATAD2B HDAC3 SNRPA1 RBM10 SNRPD1 STRAP KAT2B PBRM1 VDR ACTL6A ACTG1 CHAF1A SUPT16H SF1 MED21 GTF2H3 RUVBL1 SRSF4 CARM1 SNRNP70 GEMIN4 SNRNP40 SIN3A BRD7 MTA2 LSM4 PRMT5 BICRAL CPSF7 PRPF3 HNRNPH1 CCNC SAP18 SNRPE SMARCC1 PUF60 CPSF1 SNRPB2 DDX5 ARID1B LUC7L2 LUC7L3 ETS2 PCBP2 NCBP1 EFTUD2 SMAD4 RBM17 SMAD2 PRPF4 HNRNPL MBD2 DDX39B DDX39A PRMT7 U2AF1 SF3A3 PAG1 PRPF6 SART3 SF3B1 DDX20 SMN2 SF3B4 RBM39 SMARCC2 PCBP1 DHX9 DNAJC8 CPSF6 BCL7A BCAS2 SRSF1 NCOA3 SRRM2 SF3B3 SNRPA GEMIN8 SMARCD2 HNRNPM ZCCHC8 BCL7C SNRPD3 CDK8 RUVBL2 GTF2B SRSF2 SMARCA2 HDAC2 NUDT21 SNRPD2 HNRNPA0 GEMIN5 DDX23 RBMXL2 CREBBP ACTBL2 PHF10 PRPF31 SRCAP POLR2A RBBP4 HDAC1 SNRNP200 TOP2B SNRPB GTF2F1 ARID2 SART1 HNRNPU RBBP7 GEMIN6 CHD8 DHX15 ARID1A SCAF4 SRSF7 PHF5A BRCA1 MTREX BRD9 HTATSF1 SCYL1 HNRNPF DDX46 GEMIN2 RBM42 MLLT1 HNRNPC U2AF2 SMARCE1 SRSF11 BAZ1B CHERP ARID4B ACTL6B YBX1 RBM25 SYNCRIP ALYREF PRPF40A SNRPF SUZ12 SRSF5 HNRNPA2B1 PPIH HNRNPK EP300 NCOR1 NCBP2 MBD3 ACTB SRRT PRPF8 SMARCA1 SRSF3 DPF2 ERCC3 SREK1 SAP30 SNRPC RB1 KHSRP FUS HNRNPD SRSF6 HNRNPA1 TRIM28 SF3B2 SS18 USP39 HNRNPR SMARCB1 PRPF19 CHD4 SMARCD3 SF3B6 SRSF8 RBM7 SMARCD1 SF3A2 SMN1 TRIM33 U2SURP SMAD3 DDX17 SNRPG ING1
ACTB,HDAC2 BANF2 GATAD2B HDAC3 SMARCA4 H3C7 SNRPD1 HSPA1A THRA CNN3 PBRM1 PHF10 ACTL6A ACTG1 HDGF POLR2A RBBP4 TBL1Y HDAC1 LMNA H3C8 TOP2B H3C6 PARP1 YWHAE ARID2 RUVBL1 ACTN4 BANF1 CARM1 SIKE1 HNRNPU HSPA4 H3C4 TLE1 BCCIP TBP MYH10 ARID1A HSP90AB1 SVIL RCOR1 PTMA SSB MYH9 PSMA1 BRD9 API5 BRD7 SCYL1 G3BP1 MTA2 TBL1XR1 SLC25A3 RBL2 MYO1E BICRAL ITGB2 HNRNPC PTPRB PI4KA SMARCE1 SAP18 SAP130 SMARCC1 RAD50 IQGAP1 ACTL6B ARID1B YWHAQ NCL CDC37 HSPA8 LSM2 CFL1 H3C3 PDCD4 LMO7 EP400 CKB LMNB1 HNRNPK H3C2 TRRAP HNRNPL MBD2 NONO DDX39A SET YWHAB MBD3 MARCKSL1 ILF3 TJP1 DPF2 LEMD3 DTNA LSM8 LAMA3 EMD P2RX7 SMARCC2 SPTAN1 ZRANB2 ANP32A BCL7A RBL1 MED4 TRIM28 H3C11 SS18 SMARCB1 CHD4 NMI SMARCD2 H3C12 CCN2 SMARCD1 CAP1 H1-1 BCL7C C1QBP H3C10 RUVBL2 NPM1 DPY30 MPP3 H3C1 SMARCA2
SMARCB1,SF3A1 SFSWAP GATAD2B HDAC3 SNRPA1 RBM10 SMARCA4 SNRPD1 STRAP KAT2B PBRM1 VDR ACTL6A ACTG1 CHAF1A SUPT16H SF1 MED21 GTF2H3 SYMPK RUVBL1 SRSF4 CARM1 SNRNP70 PCSK4 GEMIN4 H3C4 SNRNP40 SIN3A TAF12 BRD7 TBL1XR1 MTA2 LSM4 PRMT5 CPSF7 PRPF3 HNRNPH1 CCNC SAP18 TAF1 SNRPE SMARCC1 PUF60 CPSF1 SNRPB2 DDX5 ARID1B DRAP1 LUC7L2 LUC7L3 ETS2 PCBP2 NCBP1 EFTUD2 RBM17 PRPF4 HNRNPL MBD2 DDX39B DDX39A U2AF1 SF3A3 PRPF6 KDM1A SART3 SF3B1 DDX20 SMN2 SF3B4 RBM39 SMARCC2 PCBP1 DHX9 DNAJC8 CPSF6 BCL7A RBL1 BCAS2 SRSF1 MED4 SRRM2 SF3B3 SNRPA GEMIN8 CHD3 SMARCD2 HNRNPM ZCCHC8 BCL7C SNRPD3 H3C10 CDK8 RUVBL2 GTF2B DPY30 H3C1 SMARCA2 HDAC2 SRSF2 SMARCA5 NUDT21 BANF2 SNRPD2 WDR5 HNRNPA0 GEMIN5 DDX23 H3C7 RBMXL2 CREBBP ACTBL2 PHF10 PRPF31 SRCAP POLR2A RBBP4 TBL1Y HDAC1 H3C8 TOP2B H3C6 SNRNP200 SNRPB GTF2F1 ARID2 SART1 HNRNPU RBBP7 TAF9 GEMIN6 CHD8 TBP GTF2E1 DHX15 ARID1A SCAF4 RCOR1 SRSF7 PHF5A BRCA1 MTREX RBBP5 HTATSF1 CPSF2 SCYL1 HNRNPF CCNH DDX46 GEMIN2 RBL2 TAF6 RBM42 MLLT1 HNRNPC U2AF2 SMARCE1 SRSF11 BAZ1B CHERP ARID4B ACTL6B YBX1 RBM25 SYNCRIP ALYREF PRPF40A H3C3 GTF2H1 SNRPF SRSF5 LMNB1 HNRNPA2B1 PPIH H3C2 HNRNPK EP300 NCOR1 NCBP2 MBD3 ACTB RAN SRRT PRPF8 SMARCA1 SRSF3 DPF2 ERCC3 EMD SREK1 SAP30 SPTAN1 SNRPC KHSRP FUS HNRNPD SRSF6 HNRNPA1 TRIM28 H3C11 SF3B2 USP39 HNRNPR PRPF19 CHD4 SMARCD3 NMI H3C12 SF3B6 SRSF8 RBM7 SMARCD1 SF3A2 SMN1 U2SURP KMT2A DDX17 SNRPG ING1
CARM1,SMARCC2 ACTB ARID1A SMARCD1 SMARCE1 SMARCA4 SMARCB1 SMARCC1 SCYL1
SMARCC2,SF3A1 SFSWAP GATAD2B HDAC3 SNRPA1 RBM10 SMARCA4 SNRPD1 STRAP PBRM1 VDR ACTL6A ACTG1 CHAF1A SUPT16H SF1 MED21 SYMPK RUVBL1 SRSF4 CARM1 SNRNP70 PCSK4 GEMIN4 H3C4 SNRNP40 SIN3A TAF12 BRD7 TBL1XR1 MTA2 LSM4 PRMT5 CPSF7 PRPF3 HNRNPH1 CCNC SAP18 TAF1 SNRPE SMARCC1 PUF60 CPSF1 SNRPB2 DDX5 ARID1B DRAP1 LUC7L2 LUC7L3 PCBP2 NCBP1 EFTUD2 SMAD4 RBM17 SMAD2 PRPF4 HNRNPL MBD2 DDX39B DDX39A U2AF1 SF3A3 PRPF6 KDM1A SART3 SF3B1 DDX20 SMN2 SF3B4 RBM39 PCBP1 DHX9 DNAJC8 CPSF6 BCL7A RBL1 BCAS2 SRSF1 NCOA3 MED4 SRRM2 SF3B3 SNRPA GEMIN8 CHD3 SMARCD2 HNRNPM ZCCHC8 BCL7C SNRPD3 H3C10 CDK8 RUVBL2 GTF2B DPY30 H3C1 SMARCA2 HDAC2 SRSF2 SMARCA5 NUDT21 BANF2 SNRPD2 WDR5 HNRNPA0 GEMIN5 DDX23 H3C7 RBMXL2 CREBBP ACTBL2 PHF10 PRPF31 SRCAP POLR2A RBBP4 TBL1Y HDAC1 H3C8 TOP2B H3C6 SNRNP200 SNRPB GTF2F1 ARID2 SART1 HNRNPU RBBP7 TAF9 GEMIN6 CHD8 TBP GTF2E1 DHX15 ARID1A SCAF4 RCOR1 SRSF7 PHF5A BRCA1 MTREX RBBP5 HTATSF1 CPSF2 SCYL1 HNRNPF CCNH DDX46 GEMIN2 RBL2 TAF6 RBM42 MLLT1 HNRNPC U2AF2 SMARCE1 SRSF11 BAZ1B CHERP ARID4B ACTL6B YBX1 RBM25 SYNCRIP ALYREF PRPF40A H3C3 GTF2H1 SNRPF SRSF5 LMNB1 HNRNPA2B1 PPIH H3C2 HNRNPK EP300 NCOR1 NCBP2 MBD3 ACTB RAN SRRT PRPF8 SMARCA1 SRSF3 DPF2 EMD SREK1 SAP30 SPTAN1 SNRPC KHSRP FUS HNRNPD SRSF6 HNRNPA1 TRIM28 H3C11 SF3B2 USP39 HNRNPR SMARCB1 PRPF19 CHD4 SMARCD3 NMI H3C12 SF3B6 SRSF8 RBM7 SMARCD1 SF3A2 SMN1 TRIM33 U2SURP KMT2A SMAD3 DDX17 SNRPG ING1
